id,name,type1,type2,firstability,secondability,weight,height,dexdescription,generacion,imagen
226,mantine,agua,volador,swift-swim,water-absorb,220.0,2.1,"Acumula velocidad nadando y puede saltar fuera del agua, alcanzando 100 metros de altura, para descender luego planeando.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/226.png
227,skarmory,acero,volador,keen-eye,sturdy,50.5,1.7,"Después de anidar en zarzas, las alas de sus polluelos crecen fortalecidas por los rasguños.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/227.png
228,houndour,siniestro,fuego,early-bird,flash-fire,10.8,0.6,"Al amanecer, resuena por la zona su inquietante aullido para anunciar que es su territorio.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/228.png
229,houndoom,siniestro,fuego,early-bird,flash-fire,35.0,1.4,"Hace mucho, la gente creía que sus horripilantes aullidos eran de la muerte personificada.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/229.png
230,kingdra,agua,dragón,swift-swim,sniper,152.0,1.8,Dicen que suele esconderse en cuevas submarinas. Puede crear torbellinos al bostezar.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/230.png
231,phanpy,tierra,None,pickup,sand-veil,33.5,0.5,"Como muestra de afecto, golpea con su trompa. Aunque es tan fuerte que te mandará lejos.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/231.png
232,donphan,tierra,None,sturdy,sand-veil,120.0,1.1,"Tiene afilados y duros colmillos, y una gruesa piel. Su Placaje es tan fuerte que puede derribar una casa.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/232.png
233,porygon2,normal,None,trace,download,32.5,0.6,"La investigación mejoró sus habilidades. A veces, puede actuar de forma no programada.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/233.png
234,stantler,normal,None,intimidate,frisk,71.2,1.4,Mirar a su cornamenta provoca una extraña sensación de pérdida de equilibrio.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/234.png
235,smeargle,normal,None,own-tempo,technician,58.0,1.2,Marca su territorio usando su cola a modo de pincel. Ha hecho más de 5000 marcas diferentes.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/235.png
236,tyrogue,lucha,None,guts,steadfast,21.0,0.7,"Ataca siempre con mucha energía. Para fortalecerse a sí mismo, sigue luchando aunque pierda.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/236.png
237,hitmontop,lucha,None,intimidate,technician,48.0,1.4,Gira a gran velocidad al luchar. La fuerza centrífuga multiplica su poder de destrucción por diez.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/237.png
238,smoochum,hielo,psíquico,oblivious,forewarn,6.0,0.4,Sus labios son la parte más sensible de su cuerpo. Siempre los usa para examinar las cosas.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/238.png
239,elekid,eléctrico,None,static,vital-spirit,23.5,0.6,"Genera electricidad girando los brazos. No obstante, es incapaz de almacenar la energía creada.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/239.png
240,magby,fuego,None,flame-body,vital-spirit,21.4,0.7,"Es pequeño, pero su cuerpo puede llegar a alcanzar 600 °C. Cuando inspira y espira, expulsa llamas por la nariz y por la boca.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/240.png
241,miltank,normal,None,thick-fat,scrappy,75.5,1.2,"Si tiene crías, la leche que produce contiene muchos más nutrientes de lo normal.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/241.png
242,blissey,normal,None,natural-cure,serene-grace,46.8,1.5,"Los huevos que pone están llenos de felicidad. Solo con probar un poquito de uno, cualquiera sonríe.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/242.png
243,raikou,eléctrico,None,pressure,inner-focus,178.0,1.9,Las nubes de lluvia que lleva le permiten lanzar rayos a voluntad. Dicen que apareció con un rayo.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/243.png
244,entei,fuego,None,pressure,inner-focus,198.0,2.1,Un Pokémon que corre por la tierra. Dicen que siempre nace uno cuando aparece un nuevo volcán.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/244.png
245,suicune,agua,None,pressure,inner-focus,187.0,2.0,Recorre el mundo para purificar agua contaminada. Corre veloz con el viento del norte.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/245.png
246,larvitar,roca,tierra,guts,sand-veil,72.0,0.6,"Se alimenta de tierra. Después de comer una gran montaña, se duerme y empieza a crecer.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/246.png
247,pupitar,roca,tierra,shed-skin,None,152.0,1.2,Su cuerpo es duro como la roca. Se autopropulsa como un cohete soltando los gases de su interior.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/247.png
248,tyranitar,roca,siniestro,sand-stream,unnerve,202.0,2.0,En una de sus poderosas garras tiene el poder de hacer temblar la tierra y las montañas.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/248.png
249,lugia,psíquico,volador,pressure,multiscale,216.0,5.2,"Duerme en una dorsal marina. Si bate sus alas, puede causar tormentas de 40 días.",2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/249.png
250,ho-oh,fuego,volador,pressure,regenerator,199.0,3.8,Cuenta la leyenda que brilla en siete colores. Dicen que deja un arcoíris tras de sí al volar.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/250.png
251,celebi,psíquico,planta,natural-cure,None,5.0,0.6,Este Pokémon vaga por el tiempo. La hierba y los árboles crecen por los campos por donde pasa.,2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/251.png
252,treecko,planta,None,overgrow,unburden,5.0,0.5,Escala superficies verticales muy rápido. Con la cola detecta la humedad y prevé el tiempo que va a hacer.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/252.png
253,grovyle,planta,None,overgrow,unburden,21.6,0.9,Los desarrollados músculos que tiene en las extremidades inferiores le hacen ser muy ágil y le permiten dar grandes saltos.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/253.png
254,sceptile,planta,None,overgrow,unburden,52.2,1.7,Las hojas de sus brazos pueden cortar gruesos árboles. Invencible en los combates en la jungla.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/254.png
255,torchic,fuego,None,blaze,speed-boost,2.5,0.4,"En su interior, guarda una llama que arde sin cesar. Si se le abraza, se nota que tiene una temperatura muy alta.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/255.png
256,combusken,fuego,lucha,blaze,speed-boost,19.5,0.9,Su habilidad le permite dar diez patadas por segundo. Lanza potentes gritos para intimidar.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/256.png
257,blaziken,fuego,lucha,blaze,speed-boost,52.0,1.9,Puede saltar edificios de 30 plantas. Con sus golpes de fuego quema a sus rivales.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/257.png
258,mudkip,agua,None,torrent,damp,7.6,0.4,"Tiene una larga cola que le propulsa por el agua con mucha potencia. A pesar de ser pequeño, tiene mucha fuerza.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/258.png
259,marshtomp,agua,tierra,torrent,damp,28.0,0.7,"Sus piernas robustas impiden que pierda el equilibrio y caiga, incluso en el barro. Duerme bajo la arena.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/259.png
260,swampert,agua,tierra,torrent,damp,81.9,1.5,Con sus brazos duros como el acero puede partir rocas gigantescas en mil pedazos de un solo golpe.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/260.png
261,poochyena,siniestro,None,run-away,quick-feet,13.6,0.5,"Es muy persistente. Si se fija en una presa, no la dejará hasta que caiga agotada.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/261.png
262,mightyena,siniestro,None,intimidate,quick-feet,37.0,1.0,Siempre obedece a los buenos Entrenadores. Está acostumbrado a vivir en jaurías en estado salvaje.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/262.png
263,zigzagoon,normal,None,pickup,gluttony,17.5,0.4,Se mueve en zigzag. Se le da bien encontrar objetos ocultos en la hierba e incluso enterrados.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/263.png
264,linoone,normal,None,pickup,gluttony,32.5,0.5,"En línea recta corre a algo más de 100 km/h, pero no es tan hábil si hay curvas de por medio.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/264.png
265,wurmple,bicho,None,shield-dust,run-away,3.6,0.3,"Le encanta comer hojas. Si le ataca un Starly, se defenderá con sus púas.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/265.png
266,silcoon,bicho,None,shed-skin,None,10.0,0.6,Se agarra con su seda a las ramas de un árbol y espera su evolución bebiendo agua de lluvia.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/266.png
267,beautifly,bicho,volador,swarm,rivalry,28.4,1.0,Los dibujos de sus coloridas alas son muy peculiares. Liba el néctar de las flores con su fina trompa.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/267.png
268,cascoon,bicho,None,shed-skin,None,11.5,0.7,"Está formado por seda que se endurece poco a poco. Si se resquebraja el capullo, está a punto de evolucionar.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/268.png
269,dustox,bicho,veneno,shield-dust,compound-eyes,31.6,1.2,"Pokémon nocturno. Atraído por las luces de la ciudad, se come las hojas y arbustos de las avenidas.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/269.png
270,lotad,agua,planta,swift-swim,rain-dish,2.6,0.5,Parece una planta acuática. Hace de ferry para los Pokémon que no saben nadar.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/270.png
271,lombre,agua,planta,swift-swim,rain-dish,32.5,1.2,"Vive en el agua y, cuando hace sol, se queda en la orilla. De día duerme sobre las algas y de noche entra en acción.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/271.png
272,ludicolo,agua,planta,swift-swim,rain-dish,55.0,1.5,"Cuando oye música alegre, sus músculos se llenan de energía, y no puede evitar ponerse a bailar.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/272.png
273,seedot,planta,None,chlorophyll,early-bird,4.0,0.5,Se cuelga de las ramas con el extremo de su cabeza. A veces se cae cuando soplan vientos fuertes.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/273.png
274,nuzleaf,planta,siniestro,chlorophyll,early-bird,28.0,1.0,"Cuando usa la hoja de su cabeza como flauta, asusta a la gente. Vive en lo más profundo de los bosques.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/274.png
275,shiftry,planta,siniestro,chlorophyll,early-bird,59.6,1.3,Habita los bosques y se le tiene miedo. Es capaz de leer los pensamientos del rival y actuar en consecuencia.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/275.png
276,taillow,normal,volador,guts,scrappy,2.3,0.3,Es un Pokémon valiente que no teme a los rivales fuertes. Vuela en busca de climas templados.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/276.png
277,swellow,normal,volador,guts,scrappy,19.8,0.7,"Cuando se encuentra bien, pone firmes las plumas de la cola doble que tiene. Remonta el vuelo de forma muy elegante.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/277.png
278,wingull,agua,volador,keen-eye,hydration,9.5,0.6,"Sus largas alas aprovechan los vientos marinos para planear. Cuando descansa, las pliega.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/278.png
279,pelipper,agua,volador,keen-eye,drizzle,28.0,1.2,Hunde su gran pico en el mar para sacar numerosas presas junto con mucha agua.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/279.png
280,ralts,psíquico,hada,synchronize,trace,6.6,0.4,"Si sus cuernos perciben emociones positivas de personas o Pokémon, su cuerpo se calienta un poco.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/280.png
281,kirlia,psíquico,hada,synchronize,trace,20.2,0.8,"Al percibir la alegría de su Entrenador refuerza sus ataques psicoquinéticos. Cuando está contento, da vueltas y baila.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/281.png
282,gardevoir,psíquico,hada,synchronize,trace,48.4,1.6,"Para proteger a su Entrenador, emplea todo su poder psíquico en crear un pequeño agujero negro.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/282.png
283,surskit,bicho,agua,swift-swim,rain-dish,1.7,0.5,"Vive en estanques, pero cuando se desata una tormenta puede aparecer en los charcos que se forman en las ciudades.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/283.png
284,masquerain,bicho,volador,intimidate,unnerve,3.6,0.8,"Sus antenas tienen dibujos de ojos, mientras que sus alas le permiten volar en cualquier dirección.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/284.png
285,shroomish,planta,None,effect-spore,poison-heal,4.5,0.4,"Prefiere los sitios húmedos. De día está tranquilamente en el bosque, a la sombra. Expulsa polvo tóxico por la cabeza.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/285.png
286,breloom,planta,lucha,effect-spore,poison-heal,39.2,1.2,Sus cortos brazos se expanden cuando da puñetazos. Tiene una técnica pugilística muy depurada.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/286.png
287,slakoth,normal,None,truant,None,24.0,0.8,Slakoth se pasa todo el día holgazaneando y solo con verlo a uno le entra mucha pereza.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/287.png
288,vigoroth,normal,None,vital-spirit,None,46.5,1.4,"Su corazón palpita a un ritmo frenético, haciendo que su sangre bulla, así que no puede estarse quieto ni un segundo.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/288.png
289,slaking,normal,None,truant,None,130.5,2.0,El Pokémon más perezoso del mundo. Cambia de lugar para coger la comida al alcance de su mano.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/289.png
290,nincada,bicho,tierra,compound-eyes,run-away,5.5,0.5,"Como se ha pasado casi toda la vida viviendo bajo tierra, no ve bien. Las antenas que tiene le ayudan a orientarse.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/290.png
291,ninjask,bicho,volador,speed-boost,infiltrator,12.0,0.8,Escuchar su zumbido de forma continuada provoca jaquecas. Casi no se le ve de lo rápido que es.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/291.png
292,shedinja,bicho,fantasma,wonder-guard,None,1.2,0.8,"Es el caparazón de un bicho que cobró vida. Si alguien lo mira por la espalda, le robará el alma.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/292.png
293,whismur,normal,None,soundproof,rattled,16.3,0.6,"Normalmente murmulla, pero cuando siente que hay peligro se pone a chillar. Solo para cuando se le cierran las orejas.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/293.png
294,loudred,normal,None,soundproof,scrappy,40.5,1.0,"Aspira profundamente y luego, usando sus fuertes abdominales, suelta un potente vozarrón.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/294.png
295,exploud,normal,None,soundproof,scrappy,84.0,1.5,Su aullido se puede oír a 10 km. Emite todo tipo de sonidos desde los tubos de su cuerpo.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/295.png
296,makuhita,lucha,None,thick-fat,guts,86.4,1.0,Endurece su cuerpo golpeando grandes árboles sin perder jamás el ánimo.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/296.png
297,hariyama,lucha,None,thick-fat,guts,253.8,2.3,"Para aumentar su fuerza, da un pisotón en el suelo. Puede lanzar un camión de 10 toneladas por los aires de un puñetazo.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/297.png
298,azurill,normal,hada,thick-fat,huge-power,2.0,0.2,Vive cerca del agua. En la tierra se mueve muy rápido botando sobre su gran cola.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/298.png
299,nosepass,roca,None,sturdy,magnet-pull,97.0,1.0,Siempre apunta al norte con su nariz imantada. Con ella reviste su cuerpo de objetos metálicos para protegerse.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/299.png
300,skitty,normal,None,cute-charm,normalize,11.0,0.6,No puede evitar ir tras las cosas que se mueven. Hasta corre en círculos persiguiéndose la cola.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/300.png
301,delcatty,normal,None,cute-charm,normalize,32.6,1.1,No soporta los lugares sucios. Le encanta acicalarse el pelaje cuando está a gusto en un sitio.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/301.png
302,sableye,siniestro,fantasma,keen-eye,stall,11.0,0.5,"Se oculta en cavernas oscuras. De tanto comer gemas, sus ojos son piedras preciosas.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/302.png
303,mawile,acero,hada,hyper-cutter,intimidate,11.5,0.6,Engaña con su aspecto dócil; hace que el rival se confíe y le da un mordisco con sus enormes e implacables mandíbulas.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/303.png
304,aron,acero,roca,sturdy,rock-head,60.0,0.4,"Suele vivir en lugares inaccesibles de las montañas, pero el hambre lo empuja a comer raíles y coches.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/304.png
305,lairon,acero,roca,sturdy,rock-head,120.0,0.9,Le encanta comer hierro. Lucha por su territorio embistiendo a sus rivales con su cuerpo de acero.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/305.png
306,aggron,acero,roca,sturdy,rock-head,360.0,2.1,"Hacen de toda una montaña su territorio. Cuantas más cicatrices tienen, más curtidos en disputas. ¡Mucha atención!",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/306.png
307,meditite,lucha,psíquico,pure-power,telepathy,11.2,0.6,"Se entrena en la profundidad de las montañas. Cuando aumenta su poder espiritual con meditación, levita.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/307.png
308,medicham,lucha,psíquico,pure-power,telepathy,31.5,1.3,"Evita los ataques moviéndose de forma elegante, como si bailara. Ataca dando un golpe devastador y moviéndose igual.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/308.png
309,electrike,eléctrico,None,static,lightning-rod,15.2,0.6,Estimula sus músculos y aumenta sus reflejos con la electricidad que almacena su pelaje.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/309.png
310,manectric,eléctrico,None,static,lightning-rod,40.2,1.5,No suele aparecer ante la gente. Dicen que suele colocar su nido donde caen los rayos.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/310.png
311,plusle,eléctrico,None,plus,lightning-rod,4.2,0.4,Anima a sus compañeros con pompones de chispas. Roba energía de los postes telefónicos.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/311.png
312,minun,eléctrico,None,minus,volt-absorb,4.2,0.4,La electricidad de Minun y Plusle es buena para la circulación y para desentumecer los músculos.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/312.png
313,volbeat,bicho,None,illuminate,swarm,17.7,0.7,Se comunica con otros iluminando su cola por la noche. Le encanta el suave aroma de Illumise.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/313.png
314,illumise,bicho,None,oblivious,tinted-lens,17.7,0.6,Con su dulce aroma guía a grupos de Volbeat para que tracen hasta 200 dibujos distintos en el cielo nocturno.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/314.png
315,roselia,planta,veneno,natural-cure,poison-point,2.0,0.3,"Ataca con sus manos, en las que tiene un tipo de veneno diferente en cada una. Cuanto más aroma, mejor salud tiene.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/315.png
316,gulpin,veneno,None,liquid-ooze,sticky-hold,10.3,0.4,Sus sesos y corazón son diminutos; es casi todo estómago. Sus jugos gástricos disuelven lo que sea.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/316.png
317,swalot,veneno,None,liquid-ooze,sticky-hold,80.0,1.7,Se traga cualquier cosa de una pieza. Sus poros segregan fluidos tóxicos que dañan a sus enemigos.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/317.png
318,carvanha,agua,siniestro,rough-skin,speed-boost,20.8,0.8,Atacan en grupo a los barcos y los hunden a base de bocados. Habitan en los ríos de la jungla.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/318.png
319,sharpedo,agua,siniestro,rough-skin,speed-boost,88.8,1.8,Con sus colmillos puede atravesar el acero. Nada a 120 km/h. Le llaman el Terror de los Mares.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/319.png
320,wailmer,agua,None,water-veil,oblivious,130.0,2.0,"Le gusta botar como una pelota de playa. Cuanta más agua de mar traga, más alto puede llegar.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/320.png
321,wailord,agua,None,water-veil,oblivious,398.0,14.5,Puede dejar fuera de combate a sus oponentes con el impacto de su enorme cuerpo al caer en el agua tras un salto.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/321.png
322,numel,fuego,tierra,oblivious,simple,24.0,0.7,En su joroba almacena magma ardiente que se enfría cuando llueve y lo ralentiza.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/322.png
323,camerupt,fuego,tierra,magma-armor,solid-rock,220.0,1.9,Los volcanes de su joroba entran en erupción cada 10 años o cuando Camerupt se enfada mucho.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/323.png
324,torkoal,fuego,None,white-smoke,drought,80.4,0.5,Trabaja sin descanso en minas en desuso localizando y extrayendo carbón.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/324.png
325,spoink,psíquico,None,thick-fat,own-tempo,30.6,0.7,Bota continuamente usando su cola como muelle. Salta para mantener el latido de su corazón.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/325.png
326,grumpig,psíquico,None,thick-fat,own-tempo,71.5,0.9,Las perlas negras aumentan sus poderes psíquicos. Controla las mentes de sus rivales con un extraño baile.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/326.png
327,spinda,normal,None,own-tempo,tangled-feet,5.0,1.1,No hay dos Spinda que tengan idénticos pelajes. Su tambaleo al bailar confunde a los rivales.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/327.png
328,trapinch,tierra,None,hyper-cutter,arena-trap,15.0,0.7,"Habita desiertos áridos. Cava fosas profundas, en las que espera que caiga su presa.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/328.png
329,vibrava,tierra,dragón,levitate,None,15.3,1.1,"Al agitar a gran velocidad ambas alas, emite ondas ultrasónicas que provocan fuertes dolores de cabeza.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/329.png
330,flygon,tierra,dragón,levitate,None,82.0,2.0,"Su medio es el desierto. Para esconderse, levanta arena con las patas. Tiene los ojos protegidos con mallas rojas.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/330.png
331,cacnea,planta,None,sand-veil,water-absorb,51.3,0.4,"Vive en regiones secas y con pocas lluvias. Una vez al año, le brota una flor amarilla.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/331.png
332,cacturne,planta,siniestro,sand-veil,water-absorb,77.4,1.3,Es un Pokémon nocturno. Busca presas agotadas por el calor diurno del desierto.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/332.png
333,swablu,normal,volador,natural-cure,cloud-nine,1.2,0.4,"Se desconoce el porqué, pero le encanta posarse sobre la cabeza de los humanos y fingir que es un gorro.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/333.png
334,altaria,dragón,volador,natural-cure,cloud-nine,20.6,1.1,Vuela pausadamente por el cielo azul. Su hermoso trino cautiva a todo aquel que lo escucha.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/334.png
335,zangoose,normal,None,immunity,toxic-boost,40.3,1.3,Hace muchos años que se enfrenta a Seviper. Su arma más eficaz son sus zarpas afiladas.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/335.png
336,seviper,veneno,None,shed-skin,infiltrator,52.5,2.7,"Hace frente a Zangoose con su agilidad y su afilada cola, que está cargada con un veneno letal.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/336.png
337,lunatone,roca,psíquico,levitate,None,168.0,1.0,"Se piensa que está muy influido por las fases lunares, ya que solo actúa en noches de luna llena.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/337.png
338,solrock,roca,psíquico,levitate,None,154.0,1.2,"Usa el sol como fuente de energía, por lo que es más poderoso de día. Brilla al rotar.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/338.png
339,barboach,agua,tierra,oblivious,anticipation,1.9,0.4,Recubre su cuerpo de una película viscosa que le permite escapar si alguien lo agarra.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/339.png
340,whiscash,agua,tierra,oblivious,anticipation,23.6,0.9,"Habita en grandes pantanos. Si se acerca un enemigo, se alborota y causa temblores monumentales.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/340.png
341,corphish,agua,None,hyper-cutter,shell-armor,11.5,0.6,"Por sucio o contaminado que esté el río, se adaptan rápido y se multiplican. Poseen una gran fuerza vital.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/341.png
342,crawdaunt,agua,siniestro,hyper-cutter,shell-armor,32.8,1.1,Este malandrín usa sus pinzas para atosigar y expulsar a los otros Pokémon que viven en su estanque.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/342.png
343,baltoy,tierra,psíquico,levitate,None,21.5,0.5,Se mueve girando sobre su eje. También se le puede ver girando cabeza abajo.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/343.png
344,claydol,tierra,psíquico,levitate,None,108.0,1.5,Este Pokémon es una vieja figurilla de barro que cobró vida mediante la exposición a extraños rayos de luz.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/344.png
345,lileep,roca,planta,suction-cups,storm-drain,23.8,1.0,Se extinguió hace 100 millones de años. Sus tentáculos parecen pétalos para atraer a sus presas.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/345.png
346,cradily,roca,planta,suction-cups,storm-drain,60.4,1.5,Vive en el fondo de los mares de aguas templadas. Emerge para cazar cuando baja la marea.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/346.png
347,anorith,roca,bicho,battle-armor,swift-swim,12.5,0.7,"Es una especie de Pokémon predecesor. Estira las pinzas para cazar a sus presas, que se esconden en las rocas del mar.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/347.png
348,armaldo,roca,bicho,battle-armor,swift-swim,68.2,1.5,Ensarta a sus presas con sus gigantescas garras elásticas. Una fuerte coraza cubre su cuerpo.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/348.png
349,feebas,agua,None,swift-swim,oblivious,7.4,0.6,"Come de todo, por lo que puede vivir en aguas contaminadas. Nadie le presta atención.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/349.png
350,milotic,agua,None,marvel-scale,competitive,162.0,6.2,"Milotic es impresionantemente bello. Quienes lo ven, temen perder las ganas de luchar contra él.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/350.png
351,castform,normal,None,forecast,None,0.8,0.3,Sus células son muy sensibles a los cambios de temperatura y humedad y se adapta sin problema.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/351.png
352,kecleon,normal,None,color-change,protean,22.0,1.0,"Puede mudar el color de su cuerpo a voluntad, pero el dibujo en zigzag de su panza nunca desaparece.",3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/352.png
353,shuppet,fantasma,None,insomnia,frisk,2.3,0.6,Dicen que con su cuerno se alimenta de sentimientos de celos y envidia. Es muy activo a medianoche.,3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/353.png
